"Product","product_map","Category"
"class C beta-lactamase PDC-23","A66335","beta-lactamase"
"class C beta-lactamase PDC-24","A39961","beta-lactamase"
"class C beta-lactamase PDC-264","A56815","beta-lactamase"
"class C beta-lactamase PDC-28","A66326","beta-lactamase"
"class C beta-lactamase PDC-286","A44171","beta-lactamase"
"class C beta-lactamase PDC-30","A45330","beta-lactamase"
"class C beta-lactamase PDC-31","A36222","beta-lactamase"
"class C beta-lactamase PDC-33","A58676","beta-lactamase"
"class C beta-lactamase PDC-331","A44237","beta-lactamase"
"class C beta-lactamase PDC-34","A33153","beta-lactamase"
"class C beta-lactamase PDC-35","A37189","beta-lactamase"
"class C beta-lactamase PDC-359","A69452","beta-lactamase"
"class C beta-lactamase PDC-36","A33521","beta-lactamase"
"class C beta-lactamase PDC-364","A58781","beta-lactamase"
"class C beta-lactamase PDC-37","A43744","beta-lactamase"
"class C beta-lactamase PDC-374","A21046","beta-lactamase"
"class C beta-lactamase PDC-39","A58550","beta-lactamase"
"class C beta-lactamase PDC-41","A57559","beta-lactamase"
"class C beta-lactamase PDC-42","A26051","beta-lactamase"
"class C beta-lactamase PDC-43","A69374","beta-lactamase"
"class C beta-lactamase PDC-45","A35899","beta-lactamase"
"class C beta-lactamase PDC-457","A62321","beta-lactamase"
"class C beta-lactamase PDC-46","A41809","beta-lactamase"
"class C beta-lactamase PDC-51","A64216","beta-lactamase"
"class C beta-lactamase PDC-59","A33426","beta-lactamase"
"class C beta-lactamase PDC-6","A37017","beta-lactamase"
"class C beta-lactamase PDC-60","A50724","beta-lactamase"
"class C beta-lactamase PDC-66","A44978","beta-lactamase"
"class C beta-lactamase PDC-8","A23980","beta-lactamase"
"class C beta-lactamase PDC-97","A60300","beta-lactamase"
"class C beta-lactamase PDC-98","A38473","beta-lactamase"
"class C beta-lactamase PRC-1","A41881","beta-lactamase"
"class C beta-lactamase SFDC-1","A55148","beta-lactamase"
"class C beta-lactamase SRT-3","A34459","beta-lactamase"
"class C beta-lactamase TRU-1","A36475","beta-lactamase"
"class C extended-spectrum beta-lactamase ADC-73","A55852","beta-lactamase"
"class C extended-spectrum beta-lactamase ADC-76","A61371","beta-lactamase"
"class C extended-spectrum beta-lactamase CMY-42","A40714","beta-lactamase"
"class C extended-spectrum beta-lactamase PDC-3","A55587","beta-lactamase"
"class D beta-lactamase","A11019","beta-lactamase"
"class D beta-lactamase BAT-1","A59942","beta-lactamase"
"class D beta-lactamase BPU-1","A51557","beta-lactamase"
"class D beta-lactamase BSU-1","A71318","beta-lactamase"
"class D beta-lactamase CDD-1","A25252","beta-lactamase"
"class D beta-lactamase CDD-2","A42220","beta-lactamase"
"class D beta-lactamase OXA-1006","A55422","beta-lactamase"
"class D beta-lactamase OXA-1037","A57683","beta-lactamase"
"class D beta-lactamase OXA-1043","A52312","beta-lactamase"
"class D beta-lactamase OXA-114f","A50044","beta-lactamase"
"class D beta-lactamase OXA-114g","A36887","beta-lactamase"
"class D beta-lactamase OXA-114h","A62298","beta-lactamase"
"class D beta-lactamase OXA-114l","A56866","beta-lactamase"
"class D beta-lactamase OXA-114m","A66581","beta-lactamase"
"class D beta-lactamase OXA-1160","A58699","beta-lactamase"
"class D beta-lactamase OXA-1161","A52253","beta-lactamase"
"class D beta-lactamase OXA-1163","A38321","beta-lactamase"
"class D beta-lactamase OXA-184","A57496","beta-lactamase"
"class D beta-lactamase OXA-299","A64206","beta-lactamase"
"class D beta-lactamase OXA-347","A20058","beta-lactamase"
"class D beta-lactamase OXA-464","A60015","beta-lactamase"
"class D beta-lactamase OXA-493","A30162","beta-lactamase"
"class D beta-lactamase OXA-568","A57386","beta-lactamase"
"class D beta-lactamase OXA-61","A46747","beta-lactamase"
"class D beta-lactamase OXA-732","A21372","beta-lactamase"
"class D beta-lactamase OXA-780","A31916","beta-lactamase"
"class D beta-lactamase OXA-926","A56459","beta-lactamase"
"class D beta-lactamase OXA-956","A43708","beta-lactamase"
"clindamycin resistance transfer factor btgA","A27858","clindamycin"
"clindamycin resistance transfer factor BtgB","A43714","clindamycin"
"CMA family class C beta-lactamase","A66464","beta-lactamase"
"CME family extended-spectrum class A beta-lactamase","A26338","beta-lactamase"
"CMH family class C beta-lactamase","A27626","beta-lactamase"
"CmlA family chloramphenicol efflux MFS transporter","A35346","chloramphenicol"
"CmlA/FloR family chloramphenicol efflux MFS transporter","A19415","chloramphenicol"
"CmlB family chloramphenicol efflux MFS transporter","A39329","chloramphenicol"
"Cmx/CmrA family chloramphenicol efflux MFS transporter","A30857","chloramphenicol"
"CMY-1/MOX family class C beta-lactamase","A35187","beta-lactamase"
"CMY-1/MOX family class C beta-lactamase MOX-1","A46647","beta-lactamase"
"CMY-1/MOX family class C beta-lactamase MOX-12","A31907","beta-lactamase"
"CMY-1/MOX family class C beta-lactamase MOX-15","A34361","beta-lactamase"
"CMY-1/MOX family class C beta-lactamase MOX-18","A58542","beta-lactamase"
"CMY-1/MOX family class C beta-lactamase MOX-25","A61637","beta-lactamase"
"CMY-1/MOX family class C beta-lactamase MOX-8","A51346","beta-lactamase"
"CMY-1/MOX family class C beta-lactamase MOX-9","A55126","beta-lactamase"
"CMY-1/MOX family extended-spectrum class C beta-lactamase CMY-10","A66307","beta-lactamase"
"CMY-1/MOX family extended-spectrum class C beta-lactamase CMY-8","A55543","beta-lactamase"
"CMY-1/MOX family extended-spectrum class C beta-lactamase MOX-1","A38514","beta-lactamase"
"CMY-1/MOX family extended-spectrum class C beta-lactamase MOX-13","A58648","beta-lactamase"
"CMY-2 family class C beta-lactamase","A27875","beta-lactamase"
"CMY2-MIR-ACT-EC family cephalosporin-hydrolyzing class C beta-lactamase","A36655","beta-lactamase"
"CMY2/MIR/ACT/EC family class C beta-lactamase","A13602","beta-lactamase"
"copper/silver export system membrane fusion protein","A47289","multidrug"
"CphA family subclass B2 metallo-beta-lactamase","A21317","beta-lactamase"
"CPS family subclass B3 metallo-beta-lactamase","A36879","beta-lactamase"
"CRH family carbapenem-hydrolyzing class A beta-lactamase","A57291","beta-lactamase"
"cryptic aminoglycoside N-acetyltransferase AAC(6')-Iy/Iaa","A18376","aminoglycoside"
"cryptic aminoglycoside nucleotidyltransferase ANT(3'')/ANT(9)","A18415","aminoglycoside"
"cryptic aminoglycoside resistance gene","A67316","aminoglycoside"
"CSA family class C beta-lactamase","A51184","beta-lactamase"
"CTX-M family class A extended-spectrum beta-lactamase","A32646","beta-lactamase"
"CTX-M family extended-spectrum class A beta-lactamase","A29345","beta-lactamase"
"CVI family subclass B2 metallo-beta-lactamase","A28429","beta-lactamase"
"damage inducible, Na+ driven multidrug efflux pump","A53936","multidrug"
"daunorubicin ABC transporter ATP-binding protein","A22849","daunorubicin"
"daunorubicin ABC transporter ATP-binding protein DrrA","A4490","daunorubicin"
"daunorubicin ABC transporter permease","A43387","daunorubicin"
"daunorubicin ABC transporter permease DrrB","A4491","daunorubicin"
"daunorubicin ABC transporter permease DrrC","A59670","daunorubicin"
"daunorubicin C-13 ketoreductase","A32899","daunorubicin"
"daunorubicin resistance ATP-binding protein","A60886","daunorubicin"
"daunorubicin resistance protein","A43901","daunorubicin"
"daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein","A13227","daunorubicin"
"daunorubicin resistance protein DrrC","A52079","daunorubicin"
"daunorubicin/doxorubicin ABC transporter permease DrrB","A60434","daunorubicin"
"daunorubicin/doxorubicin resistance ABC transporter ATP-binding protein DrrA","A32345","daunorubicin"
"daunorubicin/doxorubicin transporter ATP-binding protein DrrA","A60435","daunorubicin"
"DfrA family trimethoprim-resistant dihydrofolate reductase","A61626","trimethoprim"
"DfrB family trimethoprim-resistant dihydrofolate reductase","A27290","trimethoprim"
"DfrD/DfrG/DfrK family trimethoprim-resistant dihydrofolate reductase","A21292","trimethoprim"
"DHA family class C beta-lactamase","A29512","beta-lactamase"
"DIM/SIM/IMP family subclass B1 metallo-beta-lactamase","A43024","beta-lactamase"
"drug resistance transporter EmrB/QacA subfamily","A62825","multidrug"
"drug resistance transporter EmrB/QacA subfamily protein","A41329","multidrug"
"EAM family subclass B3 metallo-beta-lactamase","A40158","beta-lactamase"
"EBR family subclass B1 metallo-beta-lactamase","A57447","beta-lactamase"
"efflux protein MATE family","A57090","multidrug"
"efflux pump membrane fusion protein","A63257","multidrug"
"EFM family subclass B3 metallo-beta-lactamase","A61910","beta-lactamase"
"EmmdR/YeeO family multidrug/toxin efflux MATE transporter","A8431","multidrug"
"EmrA/EmrK family multidrug efflux transporter periplasmic adaptor subunit","A12067","multidrug"
"EmrB/QacA family drug resistance transporter","A17706","multidrug"
"EmrB/QacA subfamily drug resistance transporter","A35677","multidrug"
"EmrE family multidrug efflux SMR transporter","A29672","multidrug"
"EreA family erythromycin esterase","A25490","erythromycin"
"EreB family erythromycin esterase","A42230","erythromycin"
"EreD family erythromycin esterase","A20062","erythromycin"
"ErmCL family antibiotic resistance leader peptide","A61984","unclassified"
"erythromycin esterase","A27880","erythromycin"
"erythromycin esterase family protein","A2150","erythromycin"
"erythromycin resistance leader peptide","A50176","erythromycin"
"Exo family class A beta-lactamase","A34827","beta-lactamase"
"exported beta-lactamase","A52762","beta-lactamase"
"extended-spectrum beta-lactamase RAA-1","A38324","beta-lactamase"
"extended-spectrum class A beta-lactamase ACI-1","A45423","beta-lactamase"
"extended-spectrum class A beta-lactamase BEL-1","A61507","beta-lactamase"
"extended-spectrum class A beta-lactamase CepA-49","A34077","beta-lactamase"
"extended-spectrum class A beta-lactamase CfxA3","A756","beta-lactamase"
"extended-spectrum class A beta-lactamase CfxA4","A45311","beta-lactamase"
"extended-spectrum class A beta-lactamase CGA-1","A50143","beta-lactamase"
"extended-spectrum class A beta-lactamase CIA-3","A35801","beta-lactamase"
"extended-spectrum class A beta-lactamase CME-1","A60421","beta-lactamase"
"extended-spectrum class A beta-lactamase CME-3","A31639","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-1","A20188","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-101","A66593","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-102","A57520","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-104","A24568","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-115","A37529","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-123","A42957","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-125","A58729","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-13","A62724","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-130","A43290","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-132","A61911","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-136","A71005","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-14","A15574","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-15","A24735","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-195","A50745","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-199","A52163","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-2","A38031","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-213","A61835","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-215","A50856","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-236","A35652","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-24","A26323","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-243","A24567","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-27","A26725","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-3","A22712","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-30","A52065","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-32","A31926","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-36","A66327","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-44","A61647","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-55","A7290","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-62","A51850","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-63","A27065","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-64","A23680","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-65","A17308","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-71","A36791","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-8","A44358","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-9","A36288","beta-lactamase"
"extended-spectrum class A beta-lactamase CTX-M-90","A41752","beta-lactamase"
"extended-spectrum class A beta-lactamase ERP-1","A46397","beta-lactamase"
"extended-spectrum class A beta-lactamase GES-1","A39666","beta-lactamase"
"extended-spectrum class A beta-lactamase GES-11","A36772","beta-lactamase"
"extended-spectrum class A beta-lactamase GES-12","A62615","beta-lactamase"
"extended-spectrum class A beta-lactamase GES-13","A69455","beta-lactamase"
"extended-spectrum class A beta-lactamase GES-15","A63926","beta-lactamase"
"extended-spectrum class A beta-lactamase GES-19","A35365","beta-lactamase"
"extended-spectrum class A beta-lactamase GES-7","A41526","beta-lactamase"
"extended-spectrum class A beta-lactamase GES-9","A61528","beta-lactamase"
"extended-spectrum class A beta-lactamase KLUC-5","A43049","beta-lactamase"
"extended-spectrum class A beta-lactamase KPC-12","A61930","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-1-1","A8581","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-1-11","A41810","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-1-13","A51211","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-1-17","A71075","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-1-18","A57536","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-1-2","A45528","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-1-3","A42832","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-1-8","A57441","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-1","A57563","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-10","A71008","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-11","A57334","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-12","A50139","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-16","A37808","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-18","A51737","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-2","A61744","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-22","A51770","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-26","A57488","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-30","A58899","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-4","A32087","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-6","A61950","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-2-7","A36846","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-4-1","A27182","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-4-3","A32044","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-5-1","A71190","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-5-11","A61670","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-5-4","A31794","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-5-5","A64919","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-5-6","A58678","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-5-7","A41700","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-6-1","A43736","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-6-11","A66423","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-6-2","A30970","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-6-3","A33617","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-6-4","A42341","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-6-5","A35128","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-6-6","A22544","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-6-7","A44142","beta-lactamase"
"extended-spectrum class A beta-lactamase OXY-8-1","A66306","beta-lactamase"
"extended-spectrum class A beta-lactamase PER-3","A34364","beta-lactamase"
"extended-spectrum class A beta-lactamase PER-4","A38959","beta-lactamase"
"extended-spectrum class A beta-lactamase PER-7","A29807","beta-lactamase"
"extended-spectrum class A beta-lactamase PME-1","A32431","beta-lactamase"
"extended-spectrum class A beta-lactamase RAHN-1","A56804","beta-lactamase"
"extended-spectrum class A beta-lactamase RAHN-3","A40088","beta-lactamase"
"extended-spectrum class A beta-lactamase RASA-1","A43859","beta-lactamase"
"extended-spectrum class A beta-lactamase RATA-1","A56899","beta-lactamase"
"extended-spectrum class A beta-lactamase RATA-2","A60480","beta-lactamase"
"extended-spectrum class A beta-lactamase SFO-1","A39291","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-12","A8721","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-18","A57051","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-187","A50302","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-2","A34268","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-2a","A36640","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-30","A32093","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-31","A27186","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-45","A57685","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-5","A24771","beta-lactamase"
"extended-spectrum class A beta-lactamase SHV-7","A31435","beta-lactamase"
"extended-spectrum class A beta-lactamase TEM-10","A42318","beta-lactamase"
"extended-spectrum class A beta-lactamase TEM-12","A33315","beta-lactamase"
"extended-spectrum class A beta-lactamase TEM-169","A57299","beta-lactamase"
"extended-spectrum class A beta-lactamase TEM-20","A57570","beta-lactamase"
"extended-spectrum class A beta-lactamase TEM-24","A60391","beta-lactamase"
"extended-spectrum class A beta-lactamase TEM-26","A59976","beta-lactamase"
"extended-spectrum class A beta-lactamase TEM-29","A46895","beta-lactamase"
"extended-spectrum class A beta-lactamase TEM-52","A61477","beta-lactamase"
"extended-spectrum class A beta-lactamase TEM-6","A60766","beta-lactamase"
"extended-spectrum class A beta-lactamase VEB-1","A26085","beta-lactamase"
"extended-spectrum class A beta-lactamase VEB-15","A64065","beta-lactamase"
"extended-spectrum class A beta-lactamase VEB-2","A62657","beta-lactamase"
"extended-spectrum class A beta-lactamase VEB-3","A37503","beta-lactamase"
"extended-spectrum class A beta-lactamase VEB-5","A28057","beta-lactamase"
"extended-spectrum class A beta-lactamase VEB-8","A46456","beta-lactamase"
"extended-spectrum class A beta-lactamase VEB-9","A26225","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-1","A46650","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-106","A71041","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-11","A30267","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-115","A43687","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-117","A62614","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-12","A61216","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-131","A60638","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-132","A62333","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-148","A60192","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-150","A61926","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-151","A51410","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-152","A37530","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-154","A42444","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-155","A42032","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-156","A44305","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-158","A20539","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-162","A32936","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-163","A58622","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-165","A40673","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-166","A38105","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-169","A35585","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-175","A60712","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-176","A40147","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-18","A36453","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-181","A36746","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-182","A56314","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-184","A44969","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-185","A40897","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-186","A71376","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-191","A41994","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-193","A62260","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-194","A57918","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-199","A42736","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-203","A43548","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-212","A46064","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-214","A60241","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-217","A69425","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-221","A69292","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-222","A39888","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-236","A52185","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-238","A55797","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-240","A24383","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-243","A61282","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-245","A52015","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-247","A51777","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-248","A61478","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-249","A60588","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-25","A43713","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-252","A43676","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-255","A42959","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-26","A29801","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-263","A34106","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-268","A59917","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-269","A70781","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-30","A20455","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-31","A51534","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-32","A37228","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-43","A43167","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-5","A57580","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-50","A35082","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-52","A42738","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-6","A51066","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-70","A71121","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-73","A24608","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-74","A46341","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-75","A42213","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-76","A42231","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-79","A25515","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-80","A36770","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-81","A25216","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-82","A43786","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-87","A44628","beta-lactamase"
"extended-spectrum class C beta-lactamase ADC-99","A62664","beta-lactamase"
"extended-spectrum class C beta-lactamase CMY-2","A31481","beta-lactamase"
"extended-spectrum class C beta-lactamase CMY-42","A32979","beta-lactamase"
"extended-spectrum class C beta-lactamase CMY-44","A60053","beta-lactamase"
"extended-spectrum class C beta-lactamase DHA-1","A35882","beta-lactamase"
"extended-spectrum class C beta-lactamase LAQ-1","A57940","beta-lactamase"
"extended-spectrum class C beta-lactamase OCH-1","A70830","beta-lactamase"
"extended-spectrum class C beta-lactamase OCH-2","A37934","beta-lactamase"
"extended-spectrum class C beta-lactamase PDC-3","A19405","beta-lactamase"
"extended-spectrum class C beta-lactamase PDC-5","A27331","beta-lactamase"
"extended-spectrum class D beta-lactamase CDD-2","A42989","beta-lactamase"
"extended-spectrum class D beta-lactamase OXA-830","A55697","beta-lactamase"
"FEZ family subclass B3 metallo-beta-lactamase","A38527","beta-lactamase"
"fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5","A22714","aminoglycoside;fluoroquinolone"
"fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr7","A57414","aminoglycoside;fluoroquinolone"
"fluoroquinolone efflux MFS transporter QepA","A31249","fluoroquinolone"
"fluoroquinolone efflux MFS transporter QepA1","A39361","fluoroquinolone"
"fluoroquinolone efflux MFS transporter QepA2","A62368","fluoroquinolone"
"fluoroquinolone efflux MFS transporter QepA4","A44500","fluoroquinolone"
"fluoroquinolone efflux MFS transporter QepA7","A55631","fluoroquinolone"
"fluoroquinolone efflux MFS transporter QepA8","A29700","fluoroquinolone"
"fluoroquinolone efflux MFS transporter QepA9","A66210","fluoroquinolone"
"fluoroquinolone resistance protein","A41056","fluoroquinolone"
"fluoroquinolone transporter permease","A20653","fluoroquinolone"
"fluoroquinolones efflux ABC transporter permease","A4411","fluoroquinolone"
"FONA family class A beta-lactamase","A55147","beta-lactamase"
"FosA family fosfomycin resistance glutathione transferase","A8627","fosfomycin"
"FosA/FosA2 family fosfomycin resistance glutathione transferase","A7928","fosfomycin"
"FosA3/FosA4 family fosfomycin resistance glutathione transferase","A17286","fosfomycin"
"FosA5 family fosfomycin resistance glutathione transferase","A17723","fosfomycin"
"FosA7 family fosfomycin resistance glutathione transferase","A41511","fosfomycin"
"FosA8 family fosfomycin resistance glutathione transferase","A38947","fosfomycin"
"FosB family fosfomycin resistance bacillithiol transferase","A22435","fosfomycin"
"FosB/FosD family fosfomycin resistance bacillithiol transferase","A15124","fosfomycin"
"FosB1/FosB3 family fosfomycin resistance bacillithiol transferase","A17038","fosfomycin"
"FosBx1 family fosfomycin resistance bacillithiol transferase","A15851","fosfomycin"
"FosC2 family fosfomycin resistance glutathione transferase","A36611","fosfomycin"
"fosfomycin efflux MFS transporter AbaF","A2103","fosfomycin"
"fosfomycin resistance bacillithiol transferase FosB1","A45194","fosfomycin"
"fosfomycin resistance bacillithiol transferase FosB2","A15938","fosfomycin"
"fosfomycin resistance bacillithiol transferase FosB3","A50380","fosfomycin"
"fosfomycin resistance bacillithiol transferase FosB4","A42037","fosfomycin"
"fosfomycin resistance bacillithiol transferase FosB5","A69365","fosfomycin"
"fosfomycin resistance bacillithiol transferase FosBx1","A39956","fosfomycin"
"fosfomycin resistance bacillithiol transferase FosD","A33870","fosfomycin"
"fosfomycin resistance bacillithiol transferase FosY","A43287","fosfomycin"
"fosfomycin resistance glutathione transferase","A3040","fosfomycin"
"fosfomycin resistance glutathione transferase FosA","A30487","fosfomycin"
"fosfomycin resistance glutathione transferase FosA10","A26640","fosfomycin"
"fosfomycin resistance glutathione transferase FosA2","A31022","fosfomycin"
"fosfomycin resistance glutathione transferase FosA3","A17309","fosfomycin"
"fosfomycin resistance glutathione transferase FosA4","A24571","fosfomycin"
