Genome,Replicon,plasmid_count,plasmid_total_size,toxin_chromosome,biofilm_chromosome,toxin_plasmid,biofilm_plasmid
GCF_000262655.1,NC_017919.1 plasmid;NC_017926.1 chromosome,1,22406,7,0,1,0
GCF_000262675.1,NC_017927.1 chromosome,0,0,13,0,0,0
GCF_000262695.1,NC_017920.1 chromosome;NC_017921.1 chromosome;NC_017922.1 chromosome;NC_017923.1 plasmid,1,45361,22,0,2,0
GCF_000262715.1,NC_017924.1 chromosome;NC_017925.1 plasmid,1,3423,1,0,0,0
GCF_000263195.1,NC_018742.1 plasmid;NC_018743.1 plasmid;NC_018744.1 plasmid;NC_018745.1 plasmid;NC_018748.1 chromosome;NC_018749.1 plasmid,5,422203,12,0,3,0
GCF_000263215.1,NC_017933.1 chromosome,0,0,31,2,0,0
GCF_000263735.1,NC_017946.1 chromosome,0,0,10,0,0,0
GCF_000263795.2,NZ_CP017311.1 chromosome,0,0,55,0,0,0
GCF_000264455.2,NC_017956.1 chromosome;NC_017957.2 plasmid;NC_017958.1 plasmid;NC_017959.1 plasmid;NC_017966.1 plasmid,4,2593491,25,0,45,0
GCF_000264495.1,NC_017954.1 chromosome,0,0,3,0,0,0
GCF_000264665.2,NC_017986.1 chromosome;NC_018746.1 plasmid;NZ_AY208917.1 plasmid,2,218861,19,0,1,0
GCF_000264765.2,NZ_CP006664.1 chromosome;NZ_CP006665.1 plasmid;NZ_CP006666.1 plasmid,2,129265,30,3,0,0
GCF_000264945.2,NZ_CP013070.1 chromosome;NZ_CP013071.1 plasmid;NZ_CP013072.1 plasmid;NZ_CP013073.1 plasmid,3,291409,19,0,5,0
GCF_000265095.1,NC_017999.1 chromosome,0,0,11,0,0,0
GCF_000265295.1,NC_018002.1 chromosome,0,0,25,0,0,0
GCF_000265365.1,NC_018011.1 chromosome,0,0,10,0,0,0
GCF_000265385.1,NC_018013.1 chromosome,0,0,26,1,0,0
GCF_000265405.1,NC_018010.1 chromosome,0,0,41,0,0,0
GCF_000265425.1,NC_018014.1 chromosome,0,0,29,0,0,0
GCF_000265465.1,NC_018016.1 chromosome,0,0,7,0,0,0
GCF_000265505.1,NC_018018.1 chromosome,0,0,18,0,0,0
GCF_000265525.1,NC_018015.1 chromosome,0,0,24,0,0,0
GCF_000265545.3,NC_018019.3 chromosome,0,0,10,0,0,0
GCF_000266885.1,NC_018020.1 chromosome;NC_018021.1 plasmid,1,25287,78,0,0,0
GCF_000266905.1,NC_018022.1 plasmid;NC_018023.1 plasmid;NC_018027.1 chromosome,2,758901,13,0,7,0
GCF_000266925.1,NC_018024.1 chromosome,0,0,15,0,0,0
GCF_000266945.1,NC_018025.1 chromosome;NC_018026.1 plasmid,1,26923,31,0,1,0
GCF_000267545.1,NC_018028.1 chromosome,0,0,16,4,0,0
GCF_000269925.1,NC_015930.1 chromosome,0,0,12,0,0,0
GCF_000269945.1,NC_017490.1 chromosome,0,0,12,0,0,0
GCF_000269965.1,NC_017219.1 chromosome,0,0,27,0,0,0
GCF_000269985.1,NC_016109.1 chromosome,0,0,42,0,0,0
GCF_000270005.1,NC_017368.1 chromosome,0,0,5,0,0,0
GCF_000270025.1,NC_017365.1 chromosome;NC_017369.1 plasmid,1,9129,5,0,1,0
GCF_000270045.1,NC_017366.1 chromosome;NC_017370.1 plasmid,1,2637,7,0,0,0
GCF_000270065.1,NC_017367.1 chromosome,0,0,7,0,0,0
GCF_000270085.1,NC_015601.1 chromosome,0,0,4,0,0,0
GCF_000270105.1,NC_017638.1 chromosome,0,0,75,8,0,0
GCF_000270125.2,NC_017531.2 chromosome;NC_017533.1 plasmid,1,321744,28,7,1,1
GCF_000270145.1,NC_017576.1 chromosome,0,0,31,0,0,0
GCF_000270165.1,NC_015600.1 chromosome,0,0,14,0,0,0
GCF_000270205.1,NC_015913.1 chromosome,0,0,3,0,0,0
GCF_000270225.1,NC_015571.1 chromosome,0,0,5,0,0,0
GCF_000270245.1,NC_015635.1 chromosome,0,0,41,0,0,0
GCF_000270265.1,NC_017277.1 chromosome,0,0,56,0,0,0
GCF_000270285.1,NC_015738.1 chromosome,0,0,38,0,0,0
GCF_000270305.1,NC_015737.1 chromosome,0,0,16,0,0,0
GCF_000270325.1,NC_022786.1 chromosome,0,0,0,0,0,0
GCF_000270345.1,NC_017523.1 chromosome,0,0,114,0,0,0
GCF_000270365.1,NC_017522.1 chromosome,0,0,144,0,0,0
GCF_000270385.1,NC_017291.1 chromosome,0,0,5,0,0,0
GCF_000270405.1,NC_017289.1 chromosome,0,0,5,0,0,0
GCF_000270425.1,NC_017292.1 chromosome,0,0,5,0,0,0
GCF_000270445.1,NC_017290.1 chromosome,0,0,5,0,0,0
GCF_000270465.1,NC_017353.1 chromosome,0,0,9,0,0,0
GCF_000270525.1,NC_018077.1 chromosome,0,0,2,0,0,0
GCF_000271325.1,NC_018065.1 chromosome;NC_018069.1 plasmid,1,14902,13,0,0,0
GCF_000271365.1,NC_018080.1 chromosome,0,0,26,8,0,0
GCF_000271405.2,NC_015845.1 plasmid;NC_018081.1 chromosome,1,28699,23,0,1,0
GCF_000271665.2,NZ_CP010978.1 chromosome,0,0,8,0,0,0
GCF_000271865.1,NC_018089.1 chromosome,0,0,20,1,0,0
GCF_000271885.2,NZ_CP015923.1 chromosome,0,0,38,9,0,0
GCF_000271905.2,NZ_CP015924.1 chromosome,0,0,38,9,0,0
GCF_000271965.2,NZ_CP015876.1 chromosome,0,0,26,0,0,0
GCF_000271985.2,NZ_CP015877.1 chromosome,0,0,25,9,0,0
GCF_000272715.4,NZ_CP009564.1 plasmid;NZ_CP010283.1 chromosome,1,120340,32,8,1,0
GCF_000272735.4,NZ_CP009562.1 plasmid;NZ_CP010281.1 chromosome,1,120346,33,8,1,0
GCF_000272755.4,NZ_CP009563.1 plasmid;NZ_CP010282.1 chromosome,1,80098,32,8,1,0
GCF_000272775.4,NZ_CP009560.1 plasmid;NZ_CP010279.1 chromosome,1,158195,34,8,1,0
GCF_000272815.2,NZ_CP009561.1 chromosome,0,0,33,9,0,0
GCF_000272835.4,NZ_CP009570.1 plasmid;NZ_CP010284.1 chromosome,1,118585,33,8,1,0
GCF_000275605.1,NC_018092.1 chromosome,0,0,15,0,0,0
GCF_000276685.1,NC_018108.1 chromosome,0,0,8,0,0,0
GCF_000276705.2,NC_018106.1 chromosome;NC_018107.1 plasmid;NC_021501.1 plasmid,2,464646,33,5,10,0
GCF_000276825.1,NC_016948.1 chromosome,0,0,17,0,0,0
GCF_000277125.1,NC_016946.1 chromosome,0,0,16,0,0,0
GCF_000277145.1,NC_016947.1 chromosome,0,0,17,0,0,0
GCF_000277165.1,NC_017049.1 chromosome,0,0,2,0,0,0
GCF_000277185.1,NC_017050.1 chromosome,0,0,2,0,0,0
GCF_000277205.1,NC_017056.1 chromosome,0,0,2,0,0,0
GCF_000277245.1,NC_017048.1 chromosome,0,0,2,0,0,0
GCF_000277265.1,NC_017057.1 chromosome,0,0,2,0,0,0
GCF_000277285.1,NC_017066.1 chromosome,0,0,2,0,0,0
GCF_000277305.1,NC_017062.1 chromosome,0,0,2,0,0,0
GCF_000277325.1,NC_017866.1 chromosome,0,0,9,0,0,0
GCF_000277345.1,NC_017867.1 chromosome,0,0,9,0,0,0
GCF_000277365.1,NC_017739.1 chromosome,0,0,7,0,0,0
GCF_000277385.1,NC_017740.1 chromosome,0,0,7,0,0,0
GCF_000277405.1,NC_017741.1 chromosome,0,0,10,0,0,0
GCF_000277425.1,NC_017742.1 chromosome,0,0,10,0,0,0
GCF_000277715.1,NC_018142.1 chromosome,0,0,37,0,0,0
GCF_000277735.2,NC_018143.2 chromosome,0,0,145,0,0,0
GCF_000277755.1,NC_018145.1 chromosome;NC_018146.1 plasmid;NC_018147.1 plasmid;NC_018148.1 plasmid,3,47039,4,0,10,0
GCF_000277775.2,NC_018150.2 chromosome,0,0,12,0,0,0
GCF_000277795.1,NC_018149.1 chromosome,0,0,0,0,0,0
GCF_000277895.2,NZ_CP034655.1 chromosome;NZ_CP034656.1 plasmid,1,49434,29,0,0,0
GCF_000279145.1,NC_018178.1 chromosome,0,0,4,0,0,0
GCF_000279165.1,NC_018177.1 chromosome,0,0,17,0,0,0
GCF_000280315.2,NZ_CP007598.1 chromosome;NZ_CP007599.1 plasmid,1,39599,40,9,4,0
GCF_000280495.2,NZ_CP018016.1 chromosome;NZ_CP018017.1 plasmid;NZ_CP018018.1 plasmid,2,304814,55,6,4,0
GCF_000280865.2,NZ_CP072931.1 chromosome,0,0,24,0,0,0
GCF_000280925.3,NZ_CP012109.1 chromosome,0,0,16,0,0,0
GCF_000281175.1,NC_017079.1 chromosome,0,0,22,0,0,0
GCF_000281195.1,NC_018221.1 chromosome;NC_018222.1 plasmid;NC_018223.1 plasmid,2,75055,27,4,4,0
GCF_000281215.1,NC_018220.1 chromosome,0,0,25,0,0,0
GCF_000281235.1,NC_018219.1 chromosome,0,0,0,0,0,0
GCF_000281435.2,NZ_CP007727.1 chromosome;NZ_CP007728.1 plasmid;NZ_CP007729.1 plasmid;NZ_CP007730.1 plasmid,3,372559,39,6,11,0
GCF_000281535.2,NZ_CP008827.1 chromosome;NZ_CP008828.1 plasmid;NZ_CP008829.1 plasmid;NZ_CP008830.1 plasmid,3,372559,39,6,11,0
GCF_000281695.1,NC_018224.1 chromosome;NC_018225.1 plasmid,1,95989,10,0,0,0
GCF_000281715.2,NZ_CP124576.1 chromosome,0,0,21,0,0,0
GCF_000282175.2,NZ_CP124732.1 chromosome,0,0,63,0,0,0
GCF_000282715.1,NC_018266.1 chromosome,0,0,22,0,0,0
GCF_000283275.1,NC_018268.1 chromosome,0,0,11,0,0,0
GCF_000283295.1,NC_018289.1 chromosome,0,0,19,0,0,0
GCF_000283475.1,NC_014310.1 plasmid;NC_014311.1 chromosome,1,2085000,17,0,20,0
GCF_000283515.1,NC_015974.1 plasmid;NC_015976.1 chromosome,1,148801,18,0,3,0
GCF_000283535.1,NC_016002.1 chromosome,0,0,5,4,0,0
GCF_000283555.1,NC_016012.1 chromosome,0,0,3,0,0,0
GCF_000283575.1,NC_016046.1 plasmid;NC_016048.1 chromosome,1,60586,6,0,1,0
GCF_000283595.1,NC_016050.1 chromosome,0,0,22,0,0,0
GCF_000283615.1,NC_016052.1 chromosome,0,0,32,0,0,0
GCF_000283655.1,NC_016585.1 plasmid;NC_016586.1 plasmid;NC_016587.1 plasmid;NC_016588.1 plasmid;NC_016622.1 chromosome;NC_016623.1 plasmid;NC_016624.1 plasmid,6,3858068,35,0,21,1
GCF_000283695.1,NC_016784.1 chromosome,0,0,24,1,0,0
GCF_000283715.1,NC_016822.1 chromosome;NC_016823.1 plasmid;NC_016824.1 plasmid;NC_016833.1 plasmid;NC_016834.1 plasmid,4,231969,69,11,9,1
GCF_000283755.1,NC_016807.1 chromosome,0,0,2,0,0,0
GCF_000283775.1,NC_016908.1 chromosome,0,0,20,0,0,0
GCF_000283795.1,NC_016909.1 chromosome,0,0,20,0,0,0
GCF_000283815.1,NC_016914.1 chromosome,0,0,20,0,0,0
GCF_000283875.1,NC_016816.1 chromosome;NC_016817.1 plasmid,1,302599,25,8,1,1
GCF_000283915.1,NC_016929.1 chromosome,0,0,3,0,0,0
GCF_000283935.1,NC_016915.1 chromosome,0,0,22,0,0,0
GCF_000283955.1,NC_016913.1 chromosome,0,0,21,0,0,0
GCF_000283975.1,NC_016938.1 chromosome;NC_018265.1 plasmid,1,199075,7,0,5,0
GCF_000283995.1,NC_016930.1 chromosome,0,0,24,0,0,0
GCF_000284015.1,NC_016943.1 chromosome,0,0,54,0,0,0
GCF_000284035.1,NC_016887.1 chromosome,0,0,32,0,0,0
GCF_000284055.1,NC_017020.1 plasmid;NC_017021.1 plasmid;NC_017028.1 chromosome;NC_017029.1 plasmid,3,73088,26,0,0,0
GCF_000284075.1,NC_017042.1 chromosome;NC_017055.1 plasmid,1,15099,23,0,0,0
GCF_000284095.1,NC_017068.1 chromosome;NC_017069.1 plasmid;NC_017070.1 plasmid;NC_017071.1 plasmid;NC_017072.1 plasmid;NC_017073.1 plasmid;NC_017074.1 plasmid;NC_017076.1 plasmid;NC_017077.1 plasmid;NC_017078.1 plasmid,9,628253,22,0,6,0
GCF_000284115.1,NC_017080.1 chromosome;NC_017081.1 plasmid,1,81157,11,0,3,0
GCF_000284135.1,NC_017038.1 chromosome,0,0,56,0,0,0
GCF_000284155.1,NC_017041.1 plasmid;NC_017058.1 chromosome,1,26610,27,0,0,0
GCF_000284175.1,NC_017043.1 chromosome,0,0,26,0,0,0
GCF_000284195.1,NC_017044.1 chromosome,0,0,22,0,0,0
GCF_000284215.1,NC_017052.1 chromosome,0,0,56,0,0,0
GCF_000284235.1,NC_017192.1 chromosome;NC_017193.1 plasmid,1,1989,7,0,0,0
GCF_000284255.1,NC_017075.1 chromosome,0,0,21,4,0,0
GCF_000284275.1,NC_017082.1 chromosome,0,0,16,0,0,0
GCF_000284295.1,NC_017093.1 chromosome,0,0,33,0,0,0
GCF_000284315.1,NC_017094.1 chromosome,0,0,26,0,0,0
GCF_000284335.1,NC_017096.1 chromosome,0,0,5,0,0,0
GCF_000284355.1,NC_017187.1 chromosome,0,0,9,0,0,0
GCF_000284375.1,NC_017249.1 chromosome,0,0,24,0,0,0
GCF_000284395.1,NC_017061.1 chromosome,0,0,33,1,0,0
GCF_000284435.1,NC_017294.1 chromosome,0,0,3,0,0,0
GCF_000284455.1,NC_017039.1 chromosome,0,0,56,0,0,0
GCF_000284475.1,NC_016798.1 chromosome,0,0,5,0,0,0
GCF_000284495.1,NC_011993.1 chromosome,0,0,59,7,0,0
GCF_000284515.1,NC_017668.1 chromosome;NC_017669.1 plasmid;NC_017670.1 plasmid,2,19376,10,0,0,0
GCF_000284535.1,NC_017763.1 chromosome,0,0,45,0,0,0
GCF_000284555.1,NC_017549.1 chromosome,0,0,32,9,0,0
GCF_000284575.1,NC_017768.1 chromosome,0,0,22,1,0,0
GCF_000284595.1,NC_017671.1 chromosome,0,0,17,0,0,0
GCF_000284615.1,NC_017067.1 chromosome,0,0,5,0,0,0
GCF_000284635.1,NC_017761.1 chromosome;NC_017762.1 plasmid,1,23054,17,0,0,0
GCF_000285655.3,NZ_HG941718.1 chromosome;NZ_HG941719.1 plasmid;NZ_HG941720.1 plasmid,2,139682,82,8,13,0
GCF_000286275.1,NC_018405.1 chromosome,0,0,36,7,0,0
GCF_000286435.2,NC_020418.1 chromosome,0,0,25,1,0,0
GCF_000286675.1,NC_018406.1 chromosome,0,0,1,0,0,0
GCF_000286695.1,NC_018407.1 chromosome,0,0,2,0,0,0
GCF_000286715.1,NC_018408.1 chromosome,0,0,1,0,0,0
GCF_000286735.1,NC_018409.1 chromosome,0,0,1,0,0,0
GCF_000286755.1,NC_018410.1 chromosome,0,0,1,0,0,0
GCF_000286775.1,NC_018411.1 chromosome,0,0,1,0,0,0
GCF_000286795.1,NC_018412.1 chromosome,0,0,2,0,0,0
GCF_000286815.1,NC_018413.1 chromosome,0,0,1,0,0,0
GCF_000287235.1,NC_018414.1 chromosome,0,0,0,0,0,0
GCF_000287255.1,NC_018415.1 chromosome,0,0,0,0,0,0
GCF_000287275.1,NC_018416.1 chromosome,0,0,0,0,0,0
GCF_000287295.1,NC_018417.1 chromosome,0,0,0,0,0,0
GCF_000287315.1,NC_018418.1 chromosome,0,0,0,0,0,0
GCF_000287335.1,NC_018419.1 chromosome,0,0,1,0,0,0
GCF_000287355.1,NC_018420.1 chromosome,0,0,0,0,0,0
GCF_000292405.1,NC_018495.1 chromosome,0,0,1,0,0,0
GCF_000292415.1,NC_018491.1 chromosome;NC_018492.1 plasmid;NC_018493.1 plasmid;NC_018494.1 plasmid;NC_018499.1 plasmid,4,299143,23,1,0,0
GCF_000292445.1,NC_018496.1 chromosome,0,0,1,0,0,0
GCF_000292455.1,NC_018486.1 plasmid;NC_018487.1 plasmid;NC_018488.1 plasmid;NC_018489.1 plasmid;NC_018490.1 plasmid;NC_018500.1 chromosome;NC_018501.1 plasmid;NC_018502.1 plasmid;NC_018503.1 plasmid,8,552337,45,1,5,0
GCF_000292485.1,NC_018497.1 chromosome,0,0,1,0,0,0
GCF_000292505.1,NC_018498.1 chromosome,0,0,1,0,0,0
GCF_000292685.1,NC_018507.1 chromosome,0,0,0,0,0,0
GCF_000292705.1,NC_018508.1 chromosome;NC_018509.1 plasmid;NC_018510.1 plasmid;NC_018511.1 plasmid;NC_018512.1 plasmid;NC_018516.1 plasmid;NC_018517.1 plasmid,6,839352,41,1,11,0
GCF_000292915.1,NC_018513.1 chromosome;NC_018514.1 chromosome,0,0,30,0,0,0
GCF_000293765.1,NC_018520.1 chromosome,0,0,31,7,0,0
GCF_000294365.1,NC_018522.1 chromosome,0,0,35,6,0,0
GCF_000294495.1,NC_018526.1 chromosome,0,0,11,0,0,0
GCF_000294515.1,NC_018524.1 chromosome,0,0,31,0,0,0
GCF_000294535.1,NC_018525.1 chromosome,0,0,51,3,0,0
GCF_000294635.1,NC_018527.1 chromosome;NC_018529.1 chromosome,0,0,30,0,0,0
GCF_000294695.2,NC_009453.1 plasmid;NC_018531.1 chromosome;NC_018532.1 plasmid,2,344543,16,0,3,0
GCF_000294715.1,NC_018533.1 chromosome,0,0,6,0,0,0
GCF_000294775.2,NZ_CP015506.1 chromosome;NZ_CP015507.1 plasmid,1,386866,16,0,0,0
GCF_000295655.1,NC_018609.1 chromosome,0,0,12,0,0,0
GCF_000295695.2,NZ_CP047131.1 chromosome;NZ_CP047132.1 plasmid;NZ_CP047133.1 plasmid,2,276676,27,1,6,0
GCF_000296215.2,NZ_CP013949.1 chromosome,0,0,24,0,0,0
GCF_000296575.1,NC_018607.1 chromosome,0,0,11,0,0,0
GCF_000296595.1,NC_018608.1 chromosome,0,0,34,0,0,0
GCF_000296715.2,NZ_CP023474.1 chromosome,0,0,19,0,0,0
GCF_000297055.2,NC_022357.1 chromosome;NC_022358.1 plasmid,1,86619,23,0,3,0
GCF_000297075.2,NZ_HG916826.1 chromosome,0,0,36,0,0,0
GCF_000297155.3,NZ_CP029157.1 plasmid;NZ_CP029158.1 plasmid;NZ_CP029159.1 chromosome,2,55817,32,0,0,0
GCF_000298095.1,NC_018612.1 chromosome,0,0,18,0,0,0
GCF_000298115.2,NC_016034.1 plasmid;NC_016035.1 plasmid;NC_018610.1 chromosome;NC_018611.1 plasmid,3,62604,14,0,4,0
GCF_000298375.2,NC_018619.1 chromosome;NC_018633.1 plasmid,1,7487,2,0,0,0
GCF_000298385.1,NC_018618.1 chromosome,0,0,0,0,0,0
GCF_000298415.1,NC_018620.1 chromosome,0,0,5,0,0,0
GCF_000298435.2,NC_018627.1 chromosome;NC_018636.1 plasmid,1,7491,5,0,0,0
GCF_000298455.2,NC_018621.1 chromosome;NC_018638.1 plasmid,1,7553,2,0,0,0
GCF_000298475.2,NC_018622.1 chromosome;NC_018640.1 plasmid,1,7553,5,0,0,0
GCF_000298495.2,NC_018623.1 chromosome;NC_018635.1 plasmid,1,7553,5,0,0,0
GCF_000298515.2,NC_018624.1 chromosome;NC_018639.1 plasmid,1,7553,5,0,0,0
GCF_000298535.2,NC_018625.1 chromosome;NC_018634.1 plasmid,1,7552,2,0,0,0
GCF_000298555.2,NC_018626.1 chromosome;NC_018637.1 plasmid,1,7552,5,0,0,0
GCF_000298875.1,NC_018631.1 chromosome,0,0,17,0,0,0
GCF_000299015.1,NC_018630.1 chromosome,0,0,31,1,0,0
GCF_000299095.1,NC_018643.1 chromosome,0,0,1,0,0,0
GCF_000299115.1,NC_018644.1 chromosome,0,0,2,0,0,0
GCF_000299135.1,NC_018646.1 chromosome,0,0,11,0,0,0
GCF_000299235.1,NC_018649.1 chromosome,0,0,16,0,0,0
GCF_000299255.1,NC_018650.1 chromosome;NC_018651.1 plasmid;NC_018652.1 plasmid;NC_018654.1 plasmid,3,185036,94,10,9,0
GCF_000299335.2,NZ_CP004387.1 chromosome,0,0,65,0,0,0
GCF_000299355.1,NC_018657.1 plasmid;NC_018664.1 chromosome,1,2913,8,0,0,0
GCF_000299365.1,NC_018655.1 chromosome,0,0,1,1,0,0
GCF_000299395.1,NC_018656.1 chromosome,0,0,2,0,0,0
GCF_000299435.1,NC_018665.1 chromosome,0,0,8,0,0,0
GCF_000299455.1,NC_018658.1 chromosome;NC_018659.1 plasmid;NC_018660.1 plasmid;NC_018666.1 plasmid,3,164310,95,10,10,0
GCF_000299475.1,NC_018661.1 chromosome;NC_018662.1 plasmid;NC_018663.1 plasmid,2,77122,99,10,9,0
GCF_000299555.2,NZ_CP039020.1 chromosome,0,0,19,2,0,0
GCF_000299955.1,NC_018678.1 chromosome,0,0,13,0,0,0
GCF_000299965.1,NC_018697.1 chromosome,0,0,10,0,0,0
GCF_000299995.1,NC_018692.1 chromosome,0,0,10,0,0,0
GCF_000300005.1,NC_018691.1 chromosome,0,0,37,0,0,0
GCF_000300035.1,NC_018676.1 chromosome,0,0,0,0,0,0
GCF_000300045.1,NC_018747.1 chromosome,0,0,3,0,0,0
GCF_000300075.1,NC_018677.1 chromosome,0,0,0,0,0,0
GCF_000300095.1,NC_018672.1 chromosome;NC_018695.1 chromosome;NC_018696.1 plasmid,1,785419,31,0,10,0
GCF_000300135.1,NC_018673.1 chromosome;NC_018674.1 plasmid;NC_018675.1 plasmid;NC_018698.1 plasmid;NC_018699.1 plasmid,4,128372,8,0,4,0
GCF_000300175.1,NC_018679.1 chromosome;NC_018680.1 plasmid,1,45406,17,0,1,0
GCF_000300235.2,NZ_CP004388.1 chromosome;NZ_CP004389.1 plasmid,1,192380,27,0,5,0
GCF_000300255.2,NC_020913.1 chromosome,0,0,4,0,0,0
GCF_000300295.4,NZ_CP011849.2 chromosome;NZ_CP011850.1 plasmid;NZ_CP011851.1 plasmid;NZ_CP011852.1 plasmid;NZ_CP013669.1 plasmid,4,322658,2,0,17,0
GCF_000300435.2,NZ_CP008956.1 chromosome,0,0,51,0,0,0
GCF_000302515.1,NC_018707.1 chromosome,0,0,17,0,0,0
GCF_000302535.1,NC_018708.1 chromosome,0,0,21,0,0,0
GCF_000302575.1,NC_018706.1 chromosome,0,0,10,1,0,0
GCF_000303155.1,NC_018719.1 chromosome,0,0,16,0,0,0
GCF_000304215.1,NC_018720.1 chromosome,0,0,7,0,0,0
GCF_000304315.1,NC_018485.1 chromosome,0,0,40,0,0,0
GCF_000304355.2,NC_018227.2 chromosome,0,0,40,0,0,0
GCF_000304375.1,NC_018521.1 chromosome,0,0,8,0,0,0
GCF_000304415.1,NC_018682.1 plasmid;NC_018683.1 plasmid;NC_018700.1 chromosome;NC_018701.1 plasmid,3,3470585,48,0,38,0
GCF_000304455.1,NC_018605.1 chromosome;NC_018606.1 plasmid,1,57800,0,0,0,0
GCF_000304495.1,NC_017952.1 chromosome,0,0,5,0,0,0
GCF_000304515.1,NC_017951.1 chromosome,0,0,5,0,0,0
GCF_000304535.1,NC_017953.1 chromosome,0,0,5,0,0,0
GCF_000304735.1,NC_018887.1 chromosome,0,0,3,0,0,0
GCF_000305335.2,NC_017594.1 chromosome,0,0,20,0,0,0
GCF_000305775.1,NC_018866.1 chromosome,0,0,8,0,0,0
GCF_000305785.2,NC_018868.3 chromosome,0,0,8,0,0,0
GCF_000305815.1,NC_018867.1 chromosome,0,0,8,0,0,0
GCF_000305935.1,NC_018870.1 chromosome,0,0,28,0,0,0
GCF_000306745.1,NC_018877.1 chromosome;NC_018878.1 plasmid;NC_018879.1 plasmid;NC_018880.1 plasmid;NC_018881.1 plasmid;NC_018882.1 plasmid;NC_018883.1 plasmid;NC_018884.1 plasmid;NC_018885.1 plasmid;NC_018886.1 plasmid,9,633843,35,1,9,0
GCF_000306765.2,NC_017941.2 chromosome;NC_017942.1 plasmid;NC_017943.1 plasmid;NC_017944.1 plasmid,3,955823,7,0,4,0
GCF_000306785.1,NC_017955.1 chromosome,0,0,22,0,0,0
GCF_000306805.1,NC_018073.1 chromosome,0,0,15,0,0,0
GCF_000306825.1,NC_018101.1 chromosome,0,0,11,0,0,0
GCF_000306845.1,NC_018140.1 chromosome,0,0,11,0,0,0
GCF_000306865.1,NC_018139.1 chromosome;NC_018141.1 plasmid,1,150432,11,0,5,0
GCF_000306885.1,NC_018267.1 chromosome,0,0,0,0,0,0
GCF_000306905.1,NC_018586.1 chromosome,0,0,13,0,0,0
GCF_000306945.1,NC_018518.1 chromosome,0,0,18,0,0,0
GCF_000306985.1,NC_018593.1 chromosome,0,0,12,0,0,0
GCF_000307005.1,NC_018589.1 chromosome,0,0,14,0,0,0
GCF_000307025.1,NC_018584.1 chromosome,0,0,14,0,0,0
GCF_000307045.1,NC_018592.1 chromosome,0,0,12,0,0,0
GCF_000307065.1,NC_018590.1 chromosome,0,0,15,0,0,0
GCF_000307085.1,NC_018642.1 chromosome,0,0,13,0,0,0
GCF_000307105.1,NC_018645.1 chromosome,0,0,55,0,0,0
GCF_000307125.1,NC_018648.1 chromosome;NC_018653.1 plasmid,1,47689,13,0,4,0
GCF_000307165.1,NC_018704.1 chromosome,0,0,5,0,0,0
GCF_000307185.1,NC_018712.1 chromosome,0,0,14,0,0,0
GCF_000307535.1,NC_018936.1 chromosome,0,0,25,0,0,0
GCF_000307585.2,NC_017992.1 chromosome;NC_017998.1 plasmid,1,110881,13,0,1,0
GCF_000307615.1,NC_018585.1 chromosome,0,0,14,0,0,0
GCF_000307795.1,NC_018939.1 chromosome,0,0,9,0,0,0
GCF_000307815.1,NC_018937.1 chromosome,0,0,9,0,0,0
GCF_000307835.1,NC_018938.1 chromosome,0,0,9,0,0,0
GCF_000309885.1,NC_019386.1 chromosome;NC_019387.1 plasmid;NC_019388.1 plasmid,2,328936,21,0,1,0
GCF_000310065.1,NC_019395.1 chromosome,0,0,35,0,0,0
GCF_000310085.1,NC_019393.1 chromosome;NC_019394.1 plasmid,1,303282,47,0,2,0
GCF_000310105.2,NZ_CP013138.1 chromosome;NZ_CP013139.1 plasmid,1,906103,13,0,4,0
GCF_000310245.1,NC_020503.1 plasmid;NC_020505.1 chromosome,1,1452,30,0,0,0
GCF_000311765.1,NC_019396.1 chromosome;NC_019397.1 plasmid,1,213808,18,0,8,0
GCF_000312685.1,NC_019430.1 plasmid;NC_019431.1 plasmid;NC_019432.1 plasmid;NC_019433.1 plasmid;NC_019434.1 plasmid;NC_019435.1 chromosome;NC_019436.1 plasmid;NC_019437.1 plasmid;NC_019438.1 plasmid,8,206920,10,0,15,0
GCF_000312705.1,NC_019427.1 chromosome;NC_019428.1 plasmid;NC_019429.1 plasmid;NC_019439.1 chromosome;NC_019440.1 plasmid,3,156446,139,0,1,0
GCF_000313175.2,NZ_CP006694.1 chromosome;NZ_CP006695.1 chromosome,0,0,20,0,0,0
GCF_000313385.1,NC_019537.1 chromosome,0,0,4,0,0,0
GCF_000315955.1,NC_019560.1 chromosome;NC_019561.1 plasmid;NC_019562.1 plasmid,2,21678,7,0,1,0
GCF_000316175.1,NC_019670.1 chromosome,0,0,34,0,0,0
GCF_000316515.1,NC_019675.1 chromosome,0,0,44,3,0,0
GCF_000316575.1,NC_019682.1 chromosome,0,0,134,0,0,0
GCF_000316605.1,NC_019683.1 chromosome,0,0,35,0,0,0
GCF_000316625.1,NC_019676.1 chromosome,0,0,78,0,0,0
GCF_000316645.1,NC_019677.1 plasmid;NC_019684.1 chromosome;NC_019685.1 plasmid,2,83839,86,0,0,0
GCF_000316665.1,NC_019678.1 chromosome;NC_019679.1 plasmid;NC_019686.1 plasmid,2,30310,108,0,0,0
GCF_000316685.1,NC_019680.1 chromosome;NC_019681.1 plasmid,1,23223,48,0,1,0
GCF_000317025.1,NC_019689.1 chromosome,0,0,44,0,0,0
GCF_000317045.1,NC_019703.1 chromosome,0,0,10,0,0,0
